Y,https://babel.hathitrust.org/cgi/pt?id=miun.acf5938.0019.001,https://quod.lib.umich.edu/m/moa/ACF5938.0019.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=Smithsonian%20contributions%20to%20knowledge.,,ACF5938.0019.001,Smithsonian Institution.,Smithsonian contributions to knowledge.,1848-1916.,Smithsonian Institution,"Washington,",eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.acf5938.0020.001,https://quod.lib.umich.edu/m/moa/ACF5938.0020.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=Smithsonian%20contributions%20to%20knowledge.,,ACF5938.0020.001,Smithsonian Institution.,Smithsonian contributions to knowledge.,1848-1916.,Smithsonian Institution,"Washington,",eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.acf5938.0021.001,https://quod.lib.umich.edu/m/moa/ACF5938.0021.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=Smithsonian%20contributions%20to%20knowledge.,,ACF5938.0021.001,Smithsonian Institution.,Smithsonian contributions to knowledge.,1848-1916.,Smithsonian Institution,"Washington,",eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.acg3584.0001.001,https://quod.lib.umich.edu/m/moa/ACG3584.0001.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=Report%20on%20the%20Geological%20Survey%20of%20the%20state%20of%20Iowa%2C%20to%20the%20thirteenth%20General%20Assembly%2C%20January%2C%201870%2C%20containng%20results%20of%20examinations%20and%20observations%20made%20within%20the%20years%201866%2C%201867%2C%201868%20and%201869.,,ACG3584.0001.001,Iowa Geological Survey.,"Report on the Geological Survey of the state of Iowa, to the thirteenth General Assembly, January, 1870, containng results of examinations and observations made within the years 1866, 1867, 1868 and 1869.",1870,Printed and published by Mills & Co.,"Des Moines,",eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.acg3584.0002.001,https://quod.lib.umich.edu/m/moa/ACG3584.0002.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=Report%20on%20the%20Geological%20Survey%20of%20the%20state%20of%20Iowa%2C%20to%20the%20thirteenth%20General%20Assembly%2C%20January%2C%201870%2C%20containng%20results%20of%20examinations%20and%20observations%20made%20within%20the%20years%201866%2C%201867%2C%201868%20and%201869.,,ACG3584.0002.001,Iowa Geological Survey.,"Report on the Geological Survey of the state of Iowa, to the thirteenth General Assembly, January, 1870, containng results of examinations and observations made within the years 1866, 1867, 1868 and 1869.",1870,Printed and published by Mills & Co.,"Des Moines,",eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.adl8983.0001.001,https://quod.lib.umich.edu/m/moa/ADL8983.0001.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=Lucian%3B%20by%20the%20Rev.%20W.%20Lucas%20Collins.,990008127390106381,ADL8983.0001.001," Collins, William Lucas, 1817-1887.",Lucian; by the Rev. W. Lucas Collins.,1875,"J. B. Lippincott & co.,","Philadelphia,",eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.ads0461.0001.001,https://quod.lib.umich.edu/m/moa/ADS0461.0001.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=Charities%20and%20corrections%20in%20Michigan.,990008634870106381,ADS0461.0001.001,Michigan.,Charities and corrections in Michigan.,1877,"W. S. GEORGE & CO., STATE PRINTERS AND BINDERS.",Lansing,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.adu6773.0001.001,https://quod.lib.umich.edu/m/moa/ADU6773.0001.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=Washington%20observations.,,ADU6773.0001.001,United States Naval Observatory.,Washington observations.,unknown,unknown,unknown,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.adu6773.0002.001,https://quod.lib.umich.edu/m/moa/ADU6773.0002.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=Washington%20observations.,,ADU6773.0002.001,United States Naval Observatory.,Washington observations.,unknown,unknown,unknown,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.adu6773.0003.001,https://quod.lib.umich.edu/m/moa/ADU6773.0003.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=Washington%20observations.,,ADU6773.0003.001,United States Naval Observatory.,Washington observations.,unknown,unknown,unknown,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.adu6773.0004.001,https://quod.lib.umich.edu/m/moa/ADU6773.0004.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=Washington%20observations.,,ADU6773.0004.001,United States Naval Observatory.,Washington observations.,unknown,unknown,unknown,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.adu6773.0005.001,https://quod.lib.umich.edu/m/moa/ADU6773.0005.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=Washington%20observations.,,ADU6773.0005.001,United States Naval Observatory.,Washington observations.,unknown,unknown,unknown,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.adu6773.0006.001,https://quod.lib.umich.edu/m/moa/ADU6773.0006.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=Washington%20observations.,,ADU6773.0006.001,United States Naval Observatory.,Washington observations.,unknown,unknown,unknown,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.adu6773.0007.001,https://quod.lib.umich.edu/m/moa/ADU6773.0007.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=Washington%20observations.,,ADU6773.0007.001,United States Naval Observatory.,Washington observations.,unknown,unknown,unknown,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.adu6773.0008.001,https://quod.lib.umich.edu/m/moa/ADU6773.0008.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=Washington%20observations.,,ADU6773.0008.001,United States Naval Observatory.,Washington observations.,unknown,unknown,unknown,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.adu6773.0009.001,https://quod.lib.umich.edu/m/moa/ADU6773.0009.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=Washington%20observations.,,ADU6773.0009.001,United States Naval Observatory.,Washington observations.,unknown,unknown,unknown,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.adu6773.0010.001,https://quod.lib.umich.edu/m/moa/ADU6773.0010.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=Washington%20observations.,,ADU6773.0010.001,United States Naval Observatory.,Washington observations.,unknown,unknown,unknown,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.adu6773.0011.001,https://quod.lib.umich.edu/m/moa/ADU6773.0011.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=Washington%20observations.,,ADU6773.0011.001,United States Naval Observatory.,Washington observations.,unknown,unknown,unknown,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.adu6773.0012.001,https://quod.lib.umich.edu/m/moa/ADU6773.0012.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=Washington%20observations.,,ADU6773.0012.001,United States Naval Observatory.,Washington observations.,unknown,unknown,unknown,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.adu6773.0013.001,https://quod.lib.umich.edu/m/moa/ADU6773.0013.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=Washington%20observations.,,ADU6773.0013.001,United States Naval Observatory.,Washington observations.,unknown,unknown,unknown,eng
Y,https://babel.hathitrust.org/cgi/pt?id=miun.adu6773.0014.001,https://quod.lib.umich.edu/m/moa/ADU6773.0014.001/,https://search.lib.umich.edu/catalog?library=All+libraries&query=Washington%20observations.,,ADU6773.0014.001,United States Naval Observatory.,Washington observations.,unknown,unknown,unknown,eng
